Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ASPYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASTRID	0	6	0	0	0	5	0	0	0	0	0	0	0	5	0	11	10	9	18	10
ATHENA	9	12	12	11	11	12	13	15	12	11	15	16	26	25	26	31	52	40	46	25
AUBREE	0	0	0	0	0	0	0	0	0	0	5	17	15	28	31	40	20	20	15	17
AUBREY	0	7	5	0	5	0	11	15	16	18	24	24	39	63	59	59	44	41	59	40
AUBRIE	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	0	5	5	0
AUDRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUDREY	12	9	25	22	25	29	37	49	50	51	66	66	93	69	97	81	94	74	89	84
AUDRINA	0	0	0	0	0	0	0	0	9	6	15	8	0	5	0	0	0	0	0	0
AUDRY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUGUST	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	5	0	0
AURA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AURELIA	0	0	0	0	0	0	0	0	0	0	0	6	6	0	5	8	8	12	9	18
AURORA	12	9	13	15	18	19	24	25	16	26	36	34	31	30	46	50	64	76	62	64
AUSTIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUSTYN	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0
AUTUMN	22	29	29	27	23	30	26	27	39	30	38	50	35	44	41	40	34	50	33	33
AVA	25	50	59	86	105	174	233	239	235	225	179	206	187	181	169	162	185	181	148	153
AVA-MARIE	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AVAANI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AVAH	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AVALON	0	0	0	5	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0
AVALYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	5	0	0
AVALYNN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AVANI	0	0	0	0	0	7	0	0	0	12	10	7	7	7	5	11	5	8	7	0
AVARY	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0
AVAYA	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	13	7	6	11
